order_id,order_date,category,region,customer_segment,price,quantity,total_value
47,2025-03-02,A,North,retail,35.75,3,107.25
48,2025-04-25,C,West,retail,8.76,1,8.76
49,2025-12-10,D,East,retail,8.8,4,35.2
50,2025-08-04,B,North,retail,23.8,3,71.4
51,2025-08-03,C,West,retail,14.56,3,43.68
52,2025-08-05,A,West,business,28.14,4,112.56
53,2025-04-28,D,South,retail,8.77,2,17.54
54,2025-11-13,B,West,retail,34.93,3,104.79
55,2025-11-07,A,South,retail,24.3,3,72.9
56,2025-05-02,A,North,business,35.36,4,141.44
57,2025-10-19,B,South,business,29.21,2,58.42
58,2025-04-16,A,West,retail,40.13,2,80.26
59,2025-12-11,A,North,retail,36.62,3,109.86
60,2025-08-18,A,East,retail,45.36,1,45.36
61,2025-08-09,A,North,retail,18.42,1,18.42
62,2025-11-09,C,North,retail,14.57,3,43.71
63,2025-05-14,A,South,retail,29.45,3,88.35
64,2025-03-04,B,South,business,9.06,3,27.18
65,2025-10-13,C,North,retail,9.49,4,37.96
66,2025-12-24,B,South,business,25.59,2,51.18
67,2025-11-21,C,East,retail,14.6,3,43.8
68,2025-04-03,A,East,retail,28.88,2,57.76
69,2025-07-09,D,West,retail,8.53,2,17.06
70,2025-01-08,A,North,business,34.52,7,241.64
71,2025-07-21,C,South,retail,15.55,1,15.55
72,2025-08-22,A,South,retail,22.37,3,67.11
73,2025-10-03,B,North,retail,18.81,2,37.62
74,2025-02-21,A,East,retail,41.4,2,82.8
75,2025-10-07,A,North,business,34.38,5,171.9
76,2025-09-28,B,North,retail,17.54,4,70.16
77,2025-12-24,A,North,retail,38.07,3,114.21
78,2025-10-19,A,West,retail,24.41,2,48.82
79,2025-01-05,B,South,retail,18.05,2,36.1
80,2025-11-21,C,North,retail,15.48,2,30.96
81,2025-07-16,A,West,business,31.32,3,93.96
82,2025-03-08,A,North,retail,52.1,2,104.2
83,2025-12-03,A,North,retail,48.37,3,145.11
84,2025-12-23,A,West,retail,37.3,1,37.3
85,2025-12-27,B,West,retail,11.92,2,23.84
86,2025-01-04,A,North,business,41.52,2,83.04
87,2025-04-17,D,North,retail,7.71,1,7.71
88,2025-10-19,A,South,retail,41.57,3,124.71
89,2025-04-18,A,South,retail,17.41,1,17.41
90,2025-09-08,A,South,retail,34.25,5,171.25
91,2025-07-08,A,South,retail,20.37,2,40.74
92,2025-06-10,B,East,retail,15.64,1,15.64
93,2025-08-26,A,North,retail,43.4,1,43.4
94,2025-03-08,C,East,retail,15.07,3,45.21
95,2025-05-10,A,North,retail,28.96,2,57.92
96,2025-11-11,B,North,retail,16.65,1,16.65
97,2025-08-14,A,West,retail,36.04,3,108.12
98,2025-09-09,A,North,retail,20.84,2,41.68
99,2025-04-11,A,South,retail,24.81,1,24.81
100,2025-12-06,B,North,retail,19.75,2,39.5
101,2025-05-01,C,North,retail,11.28,1,11.28
102,2025-08-26,B,East,business,27.18,2,54.36
103,2025-04-12,A,North,retail,27.98,2,55.96
104,2025-10-22,B,North,business,16.49,3,49.47
105,2025-04-15,B,South,retail,12.41,1,12.41
106,2025-12-25,A,West,retail,30.48,4,121.92
107,2025-05-20,B,West,business,15.08,6,90.48
108,2025-02-25,A,North,retail,24.68,2,49.36
109,2025-01-23,A,North,business,33.89,3,101.67
110,2025-08-22,B,East,retail,18.1,1,18.1
111,2025-12-10,B,North,retail,19.88,1,19.88
112,2025-06-13,A,North,retail,21.87,2,43.74
113,2025-06-01,A,North,retail,21.01,1,21.01
114,2025-03-08,A,South,business,40.05,7,280.35
115,2025-05-23,D,South,retail,8.48,3,25.44
116,2025-08-28,A,North,business,30.7,4,122.8
117,2025-12-04,A,East,retail,37.45,1,37.45
118,2025-07-05,C,North,retail,12.02,2,24.04
119,2025-12-13,C,North,business,11.12,3,33.36
120,2025-08-01,A,East,retail,23.42,3,70.26
121,2025-01-09,A,East,retail,22.49,2,44.98
122,2025-03-03,B,East,retail,16.05,1,16.05
123,2025-11-25,A,South,retail,37.08,2,74.16
124,2025-09-24,A,South,retail,18.73,1,18.73
125,2025-02-22,A,South,retail,18.97,1,18.97
126,2025-12-06,B,North,retail,13.44,4,53.76
127,2025-06-10,D,North,retail,6.48,1,6.48
128,2025-10-01,D,North,retail,6.32,1,6.32
129,2025-07-24,C,West,retail,11.2,2,22.4
130,2025-08-15,B,South,retail,13.41,2,26.82
131,2025-09-15,B,West,retail,12.61,1,12.61
132,2025-11-18,A,North,retail,34.6,2,69.2
133,2025-11-02,C,East,retail,16.63,1,16.63
134,2025-09-10,B,West,retail,24.91,2,49.82
135,2025-12-06,C,West,business,13.61,4,54.44
136,2025-04-03,B,West,retail,15.56,1,15.56
137,2025-12-03,A,West,retail,26.87,2,53.74
138,2025-12-17,B,West,retail,21.58,1,21.58
139,2025-09-01,B,West,retail,16.55,3,49.65
140,2025-03-09,A,West,retail,37.48,2,74.96
141,2025-12-01,A,West,business,46.34,2,92.68
142,2025-08-08,B,North,retail,25.3,2,50.6
143,2025-06-11,B,West,retail,14.51,3,43.53
144,2025-12-14,C,South,retail,9.65,1,9.65
145,2025-08-22,B,West,retail,10.07,3,30.21
146,2025-08-15,B,South,retail,22.8,1,22.8
147,2025-06-22,C,South,retail,7.88,1,7.88
148,2025-02-04,B,South,business,16.17,3,48.51
149,2025-06-05,B,North,retail,24.24,2,48.48
150,2025-06-05,A,North,retail,29.79,1,29.79
151,2025-06-22,B,North,business,17.86,3,53.58
152,2025-04-06,C,South,retail,15.99,1,15.99
153,2025-08-27,A,East,retail,39.66,2,79.32
154,2025-12-02,A,East,retail,41.51,1,41.51
155,2025-02-06,B,East,business,25.4,3,76.2
156,2025-07-03,A,West,retail,21.53,3,64.59
157,2025-06-07,D,East,retail,5.89,2,11.78
158,2025-05-08,A,South,retail,27.32,5,136.6
159,2025-05-12,B,South,retail,18.47,3,55.41
160,2025-05-23,A,West,retail,21.49,1,21.49
161,2025-06-02,A,West,retail,41.17,3,123.51
162,2025-08-21,A,East,retail,33.33,3,99.99
163,2025-10-15,A,West,business,54.74,2,109.48
164,2025-11-07,A,North,retail,25.17,2,50.34
165,2025-06-12,C,West,business,21.15,3,63.45
166,2025-08-19,A,East,retail,40.21,2,80.42
167,2025-12-25,A,West,business,40.97,2,81.94
168,2025-08-09,B,North,retail,10.86,4,43.44
169,2025-09-09,A,South,retail,32.51,2,65.02
170,2025-04-22,A,West,retail,34.58,2,69.16
171,2025-04-03,A,East,retail,26.01,3,78.03
172,2025-01-06,A,West,business,29.82,1,29.82
173,2025-03-13,A,South,business,33.82,3,101.46
174,2025-02-13,C,South,retail,9.52,2,19.04
175,2025-06-28,A,West,retail,31.68,3,95.04
176,2025-11-14,A,North,retail,24.81,2,49.62
177,2025-05-24,C,West,retail,11.91,3,35.73
178,2025-07-09,C,West,business,14.21,5,71.05
179,2025-10-21,D,West,retail,9.53,2,19.06
180,2025-05-16,A,North,retail,22.57,1,22.57
181,2025-12-19,B,West,business,20.15,2,40.3
182,2025-12-08,A,West,retail,29.83,1,29.83
183,2025-06-07,A,North,business,23.67,5,118.35
184,2025-03-24,A,West,retail,35.0,1,35.0
185,2025-09-18,D,North,retail,7.87,1,7.87
186,2025-03-28,B,West,retail,20.38,3,61.14
187,2025-09-16,C,East,business,11.87,2,23.74
188,2025-11-23,A,North,retail,32.77,1,32.77
189,2025-09-23,A,West,retail,24.54,1,24.54
190,2025-05-01,A,East,retail,26.68,2,53.36
191,2025-08-22,A,West,business,42.37,5,211.85
192,2025-07-10,A,West,retail,31.15,2,62.3
193,2025-07-12,C,South,business,18.93,2,37.86
194,2025-07-16,C,South,business,17.67,2,35.34
195,2025-10-26,C,South,business,12.77,4,51.08
196,2025-11-26,A,East,retail,32.25,2,64.5
197,2025-03-23,A,North,retail,24.86,1,24.86
198,2025-11-18,B,East,business,20.69,2,41.38
199,2025-09-19,B,West,retail,23.38,1,23.38
200,2025-09-25,A,North,business,33.48,3,100.44
201,2025-06-04,B,South,retail,15.76,2,31.52
202,2025-06-14,A,East,retail,45.03,2,90.06
203,2025-12-05,A,South,retail,31.94,2,63.88
204,2025-04-15,A,East,retail,33.55,2,67.1
205,2025-12-06,C,South,retail,13.27,4,53.08
206,2025-10-28,C,East,retail,8.71,2,17.42
207,2025-09-01,D,North,retail,7.35,5,36.75
208,2025-06-22,B,South,retail,19.2,3,57.6
209,2025-10-07,A,North,retail,35.38,2,70.76
210,2025-02-26,A,West,retail,32.82,1,32.82
211,2025-12-19,B,East,retail,18.51,3,55.53
212,2025-01-11,B,East,retail,14.13,2,28.26
213,2025-04-16,D,West,retail,9.46,1,9.46
214,2025-12-19,C,South,retail,15.56,2,31.12
215,2025-11-01,D,East,business,9.32,4,37.28
216,2025-09-14,B,West,retail,16.4,2,32.8
217,2025-04-04,A,East,retail,26.73,3,80.19
218,2025-06-27,D,East,retail,7.59,1,7.59
219,2025-06-10,A,East,retail,25.34,2,50.68
220,2025-04-28,B,West,retail,14.64,1,14.64
221,2025-07-18,B,South,retail,18.74,2,37.48
222,2025-11-21,B,South,retail,15.12,3,45.36
223,2025-12-11,A,West,retail,31.9,3,95.7
224,2025-08-17,B,North,business,25.14,7,175.98
225,2025-05-10,A,West,business,40.55,8,324.4
226,2025-05-22,A,West,business,19.13,6,114.78
227,2025-12-04,C,South,retail,16.0,4,64.0
228,2025-03-13,D,North,retail,7.58,2,15.16
229,2025-04-22,A,North,retail,39.4,2,78.8
230,2025-03-05,A,West,retail,26.13,2,52.26
231,2025-07-07,A,East,business,22.94,5,114.7
232,2025-04-09,C,North,retail,9.78,3,29.34
233,2025-01-24,B,West,retail,28.45,4,113.8
234,2025-09-14,A,North,retail,30.56,4,122.24
235,2025-10-03,A,West,retail,30.75,2,61.5
236,2025-09-18,B,North,retail,17.67,4,70.68
237,2025-10-08,B,West,business,17.52,5,87.6
238,2025-10-28,B,North,retail,18.7,1,18.7
239,2025-04-14,D,North,retail,8.4,6,50.4
240,2025-11-16,C,East,retail,15.03,3,45.09
241,2025-01-04,A,West,business,30.36,1,30.36
242,2025-02-15,A,North,retail,31.62,3,94.86
243,2025-12-26,A,East,retail,27.31,1,27.31
244,2025-07-24,A,West,retail,18.43,1,18.43
245,2025-04-04,B,West,retail,11.53,1,11.53
246,2025-05-01,A,West,retail,27.0,3,81.0
247,2025-08-09,A,East,retail,48.84,2,97.68
248,2025-01-11,C,North,business,15.45,4,61.8
249,2025-05-27,A,West,business,29.82,2,59.64
250,2025-06-26,B,North,retail,17.73,2,35.46
251,2025-01-25,C,North,retail,19.7,2,39.4
252,2025-06-14,B,West,retail,20.79,6,124.74
253,2025-03-23,A,West,business,41.67,2,83.34
254,2025-07-13,A,West,retail,27.33,1,27.33
255,2025-11-16,A,West,business,43.58,7,305.06
256,2025-12-16,A,West,business,46.45,1,46.45
257,2025-04-24,C,North,business,14.97,6,89.82
258,2025-05-26,A,North,retail,26.6,1,26.6
259,2025-04-22,A,South,business,24.03,4,96.12
260,2025-11-10,C,South,retail,16.52,2,33.04
261,2025-05-03,C,North,retail,7.52,2,15.04
262,2025-02-08,A,North,retail,48.13,2,96.26
263,2025-10-28,C,East,business,12.42,8,99.36
264,2025-06-02,B,South,retail,15.79,3,47.37
265,2025-04-10,A,West,retail,47.83,4,191.32
266,2025-09-12,A,South,retail,28.18,1,28.18
267,2025-10-03,D,North,business,8.29,2,16.58
268,2025-09-23,B,North,retail,16.69,3,50.07
269,2025-06-28,A,East,retail,25.87,1,25.87
270,2025-06-23,A,North,business,34.27,5,171.35
271,2025-07-07,B,North,retail,24.2,2,48.4
272,2025-11-01,C,West,retail,13.28,2,26.56
273,2025-04-12,C,West,retail,12.32,1,12.32
274,2025-10-25,A,North,business,30.39,4,121.56
275,2025-02-05,C,North,business,11.23,4,44.92
276,2025-11-22,A,West,retail,28.02,2,56.04
277,2025-10-15,A,North,business,28.37,3,85.11
278,2025-02-03,A,North,retail,13.75,5,68.75
279,2025-06-26,A,South,retail,40.4,3,121.2
280,2025-06-02,A,North,retail,27.81,2,55.62
281,2025-07-03,B,South,retail,14.1,2,28.2
282,2025-07-18,B,East,retail,14.32,1,14.32
283,2025-12-09,C,North,retail,9.78,3,29.34
284,2025-02-22,A,East,retail,33.46,2,66.92
285,2025-04-04,C,West,retail,20.79,2,41.58
286,2025-07-01,C,East,retail,11.29,2,22.58
287,2025-06-24,C,South,retail,12.82,1,12.82
288,2025-08-02,B,South,retail,22.5,1,22.5
289,2025-12-12,B,East,business,18.75,4,75.0
290,2025-07-20,B,West,retail,20.33,3,60.99
291,2025-06-19,A,West,retail,26.73,1,26.73
292,2025-10-08,A,East,retail,41.49,4,165.96
293,2025-11-18,D,North,retail,8.53,3,25.59
294,2025-12-08,B,West,business,22.42,5,112.1
295,2025-07-06,A,North,business,44.22,8,353.76
296,2025-11-10,A,East,retail,37.42,2,74.84
297,2025-09-27,C,North,retail,20.23,3,60.69
298,2025-03-07,A,West,retail,29.85,2,59.7
299,2025-11-13,B,South,retail,12.94,4,51.76
300,2025-06-09,B,East,retail,19.6,2,39.2
301,2025-10-26,B,North,retail,18.36,3,55.08
302,2025-11-21,B,South,retail,26.87,1,26.87
303,2025-03-28,C,South,business,23.46,7,164.22
304,2025-03-16,A,East,retail,24.89,3,74.67
305,2025-07-28,B,North,retail,24.76,2,49.52
306,2025-10-06,B,North,business,22.26,8,178.08
307,2025-01-23,A,West,retail,25.06,3,75.18
308,2025-08-05,A,East,retail,31.34,1,31.34
309,2025-07-20,C,East,retail,12.27,2,24.54
310,2025-04-15,B,West,business,27.12,4,108.48
311,2025-04-13,C,East,retail,13.13,3,39.39
312,2025-09-02,A,West,retail,31.81,1,31.81
313,2025-12-27,C,North,business,21.98,3,65.94
314,2025-03-01,B,North,retail,13.01,1,13.01
315,2025-10-20,A,South,retail,27.07,3,81.21
316,2025-08-05,A,West,retail,23.08,1,23.08
317,2025-05-25,B,West,retail,18.75,2,37.5
318,2025-03-01,A,North,retail,27.07,4,108.28
319,2025-07-26,B,West,retail,20.83,3,62.49
320,2025-06-01,B,West,retail,15.82,2,31.64
321,2025-08-19,B,East,business,27.8,3,83.4
322,2025-06-07,D,West,business,12.58,1,12.58
323,2025-03-07,A,East,business,32.44,4,129.76
324,2025-08-22,B,West,business,17.11,7,119.77
325,2025-11-27,A,West,retail,28.15,4,112.6
326,2025-11-15,A,North,business,42.21,3,126.63
327,2025-12-07,C,North,retail,7.91,2,15.82
328,2025-03-20,A,West,retail,52.18,2,104.36
329,2025-10-04,B,East,retail,16.93,2,33.86
330,2025-03-27,C,South,business,9.52,1,9.52
331,2025-07-03,D,South,retail,8.53,1,8.53
332,2025-11-03,A,East,retail,23.83,1,23.83
333,2025-12-15,A,West,retail,28.6,1,28.6
334,2025-02-07,D,West,business,5.95,3,17.85
335,2025-06-13,C,North,retail,9.5,2,19.0
336,2025-06-07,A,North,retail,19.59,3,58.77
337,2025-11-09,B,West,retail,18.46,1,18.46
338,2025-03-19,A,West,retail,24.87,2,49.74
339,2025-12-16,B,North,retail,29.46,1,29.46
340,2025-09-19,A,West,retail,38.51,2,77.02
341,2025-01-17,A,South,retail,23.21,3,69.63
342,2025-08-06,B,North,retail,19.0,1,19.0
343,2025-09-17,C,West,retail,16.52,5,82.6
344,2025-11-23,A,North,retail,33.16,1,33.16
345,2025-11-12,A,North,business,26.06,7,182.42
346,2025-11-12,A,North,retail,49.38,1,49.38
347,2025-04-21,B,North,business,21.45,3,64.35
348,2025-11-20,B,North,retail,19.82,2,39.64
349,2025-12-06,A,West,retail,41.62,1,41.62
350,2025-11-20,A,West,retail,45.39,3,136.17
351,2025-12-07,A,North,retail,33.35,2,66.7
352,2025-12-21,C,North,retail,9.54,5,47.7
353,2025-09-02,A,West,business,32.87,4,131.48
354,2025-09-23,A,East,retail,28.21,2,56.42
355,2025-06-09,B,West,retail,26.08,3,78.24
356,2025-12-17,A,South,business,20.12,3,60.36
357,2025-05-01,B,South,retail,12.6,2,25.2
358,2025-03-23,C,West,business,9.98,2,19.96
359,2025-04-16,C,West,retail,12.44,1,12.44
360,2025-07-04,A,North,business,34.03,6,204.18
361,2025-11-22,A,North,retail,45.99,4,183.96
362,2025-11-11,B,East,retail,28.34,2,56.68
363,2025-06-23,B,North,retail,32.21,1,32.21
364,2025-08-03,C,South,business,19.79,4,79.16
365,2025-08-15,C,East,retail,11.19,1,11.19
366,2025-11-26,B,West,retail,23.04,2,46.08
367,2025-08-05,C,North,business,12.35,4,49.4
368,2025-03-19,A,North,retail,26.95,2,53.9
369,2025-03-20,A,North,retail,42.72,3,128.16
370,2025-10-13,D,West,retail,8.66,2,17.32
371,2025-07-03,A,North,retail,24.44,1,24.44
372,2025-10-25,C,East,retail,8.88,2,17.76
373,2025-10-17,B,South,retail,13.95,1,13.95
374,2025-12-04,A,North,business,52.83,3,158.49
375,2025-09-22,D,East,retail,5.72,1,5.72
376,2025-07-09,B,East,retail,8.28,1,8.28
377,2025-05-20,A,South,retail,32.31,2,64.62
378,2025-06-03,A,North,retail,39.72,2,79.44
379,2025-12-13,A,West,business,45.55,1,45.55
380,2025-05-15,A,West,retail,21.81,4,87.24
381,2025-12-07,B,West,retail,23.33,1,23.33
382,2025-01-13,A,South,retail,36.08,4,144.32
383,2025-10-06,A,South,retail,30.43,2,60.86
384,2025-12-02,A,East,retail,37.17,4,148.68
385,2025-02-19,A,North,retail,27.35,4,109.4
386,2025-02-08,A,South,retail,28.82,2,57.64
387,2025-06-28,B,East,retail,25.17,2,50.34
388,2025-11-17,A,North,retail,31.41,2,62.82
389,2025-02-09,B,South,retail,15.75,3,47.25
390,2025-03-04,A,South,retail,22.36,1,22.36
391,2025-11-19,A,North,retail,48.19,1,48.19
392,2025-12-08,A,North,retail,40.36,3,121.08
393,2025-02-15,A,North,business,48.3,4,193.2
394,2025-08-13,B,West,business,15.56,2,31.12
395,2025-07-19,A,North,retail,30.34,3,91.02
396,2025-09-15,A,West,retail,31.38,4,125.52
397,2025-08-27,A,West,retail,29.32,2,58.64
398,2025-12-04,A,West,retail,50.94,2,101.88
399,2025-09-04,B,West,retail,15.6,3,46.8
400,2025-12-28,A,South,retail,15.91,2,31.82
401,2025-06-07,C,South,business,9.43,5,47.15
402,2025-01-16,D,East,retail,7.04,1,7.04
403,2025-12-22,D,South,retail,10.6,3,31.8
404,2025-05-13,C,North,retail,13.99,3,41.97
405,2025-03-28,A,North,business,24.61,3,73.83
406,2025-02-07,A,West,retail,45.18,5,225.9
407,2025-12-02,A,South,retail,27.27,2,54.54
408,2025-02-18,C,North,retail,9.93,3,29.79
409,2025-12-10,A,North,retail,41.01,2,82.02
410,2025-02-09,B,North,retail,15.05,1,15.05
411,2025-04-07,A,East,retail,27.01,3,81.03
412,2025-03-06,B,West,retail,18.41,3,55.23
413,2025-05-08,A,East,retail,25.43,4,101.72
414,2025-05-21,A,West,retail,25.25,2,50.5
415,2025-08-07,A,North,business,31.88,1,31.88
416,2025-06-03,B,East,retail,21.43,1,21.43
417,2025-11-15,A,West,retail,22.24,1,22.24
418,2025-07-09,C,West,retail,9.88,2,19.76
419,2025-05-01,A,East,retail,36.78,4,147.12
420,2025-07-14,A,North,retail,34.49,1,34.49
421,2025-08-05,A,West,business,35.87,2,71.74
422,2025-09-13,A,East,retail,30.16,2,60.32
423,2025-07-06,C,West,business,13.2,2,26.4
424,2025-04-04,A,East,retail,31.89,2,63.78
425,2025-03-10,B,South,retail,19.85,2,39.7
426,2025-03-10,C,South,retail,10.75,4,43.0
427,2025-07-21,A,North,retail,32.66,2,65.32
428,2025-01-09,A,East,retail,38.52,2,77.04
429,2025-05-06,A,North,retail,30.4,1,30.4
430,2025-04-08,B,North,retail,16.17,4,64.68
431,2025-07-21,A,East,retail,35.11,3,105.33
432,2025-11-09,A,West,retail,40.66,2,81.32
433,2025-05-10,C,East,retail,11.23,2,22.46
434,2025-08-21,A,East,business,34.23,3,102.69
435,2025-01-12,A,West,retail,34.76,3,104.28
436,2025-06-01,C,West,business,26.54,4,106.16
437,2025-03-10,C,East,retail,12.79,1,12.79
438,2025-10-25,A,East,retail,30.12,2,60.24
439,2025-08-22,C,South,business,13.32,3,39.96
440,2025-02-28,D,North,retail,10.31,2,20.62
441,2025-01-18,D,North,retail,8.28,2,16.56
442,2025-04-21,D,North,business,7.79,1,7.79
443,2025-11-02,A,East,retail,31.99,2,63.98
444,2025-08-15,C,West,business,13.84,1,13.84
445,2025-11-17,A,North,business,30.8,4,123.2
446,2025-09-14,A,North,retail,26.19,3,78.57
447,2025-08-01,A,South,retail,38.94,2,77.88
448,2025-12-04,C,West,retail,12.13,2,24.26
449,2025-09-02,C,North,business,20.53,3,61.59
450,2025-05-14,A,North,retail,26.12,1,26.12
451,2025-06-01,B,East,retail,20.72,1,20.72
452,2025-09-19,A,South,retail,53.86,1,53.86
453,2025-09-20,A,North,retail,28.53,1,28.53
454,2025-03-03,B,East,retail,21.55,4,86.2
455,2025-07-24,A,South,retail,18.19,1,18.19
456,2025-04-08,A,East,retail,31.92,1,31.92
457,2025-02-11,C,West,retail,10.01,3,30.03
458,2025-04-19,A,South,business,30.45,2,60.9
459,2025-07-11,A,East,retail,32.45,1,32.45
460,2025-12-10,A,South,retail,26.7,2,53.4
461,2025-12-08,A,North,retail,41.86,1,41.86
462,2025-09-14,B,West,retail,14.94,3,44.82
463,2025-04-27,A,North,business,41.76,3,125.28
464,2025-12-21,A,South,retail,39.78,1,39.78
465,2025-07-14,C,North,retail,17.01,1,17.01
466,2025-11-06,B,North,retail,17.84,3,53.52
467,2025-06-25,A,East,retail,25.69,1,25.69
468,2025-11-15,A,West,business,40.25,7,281.75
469,2025-03-21,C,South,retail,11.07,4,44.28
470,2025-01-19,A,North,retail,34.25,2,68.5
471,2025-02-28,A,East,retail,34.03,1,34.03
472,2025-05-25,D,West,retail,8.46,1,8.46
473,2025-12-23,B,South,retail,28.55,3,85.65
474,2025-08-11,C,West,retail,12.03,4,48.12
475,2025-10-10,D,South,business,9.63,6,57.78
476,2025-10-01,A,South,business,33.47,2,66.94
477,2025-01-05,A,West,retail,29.13,2,58.26
478,2025-06-04,A,East,retail,31.98,4,127.92
479,2025-03-12,B,North,retail,21.19,2,42.38
480,2025-05-02,B,North,retail,24.63,2,49.26
481,2025-12-23,A,West,retail,36.55,4,146.2
482,2025-06-10,A,West,retail,44.81,3,134.43
483,2025-05-18,B,North,retail,12.03,3,36.09
484,2025-06-17,C,North,retail,8.71,2,17.42
485,2025-08-20,A,South,retail,28.04,1,28.04
486,2025-03-22,A,East,retail,25.36,1,25.36
487,2025-02-28,A,North,retail,24.06,2,48.12
488,2025-05-12,A,West,retail,36.71,2,73.42
489,2025-05-05,A,North,retail,32.72,2,65.44
490,2025-03-01,D,East,business,8.5,3,25.5
491,2025-11-10,B,North,retail,20.8,1,20.8
492,2025-03-13,B,East,business,15.42,1,15.42
493,2025-07-23,A,North,business,38.35,5,191.75
494,2025-08-03,A,East,retail,43.75,1,43.75
495,2025-03-03,C,West,retail,11.57,1,11.57
496,2025-05-07,A,North,business,33.6,2,67.2
497,2025-10-17,A,East,retail,24.19,1,24.19
498,2025-12-27,A,West,retail,33.46,2,66.92
499,2025-01-03,A,North,retail,35.59,3,106.77
500,2025-10-21,C,North,retail,14.4,1,14.4
501,2025-07-22,A,North,business,45.4,3,136.2
502,2025-08-12,A,West,retail,30.89,1,30.89
503,2025-06-11,B,West,business,22.59,3,67.77
504,2025-09-07,A,North,business,29.5,4,118.0
505,2025-05-28,A,West,retail,27.59,1,27.59
506,2025-11-12,B,South,retail,21.64,2,43.28
507,2025-06-01,A,East,business,23.72,4,94.88
508,2025-09-27,A,East,retail,19.07,4,76.28
509,2025-07-02,B,West,retail,11.22,1,11.22
510,2025-08-28,C,North,business,11.35,4,45.4
511,2025-08-24,A,South,business,24.93,4,99.72
512,2025-11-16,A,West,retail,30.63,2,61.26
513,2025-12-12,A,East,business,36.54,5,182.7
514,2025-10-23,A,South,retail,22.47,3,67.41
515,2025-03-27,A,South,retail,27.48,1,27.48
516,2025-05-23,C,West,retail,19.12,4,76.48
517,2025-09-11,A,West,business,71.21,5,356.05
518,2025-09-12,A,West,retail,33.22,2,66.44
519,2025-10-27,A,West,retail,52.66,2,105.32
520,2025-11-26,A,North,business,27.93,6,167.58
521,2025-12-06,B,North,retail,15.05,1,15.05
522,2025-01-08,A,North,retail,27.99,3,83.97
523,2025-10-15,A,North,retail,26.25,2,52.5
524,2025-11-11,C,West,retail,15.16,2,30.32
525,2025-06-24,A,West,retail,28.45,1,28.45
526,2025-12-23,B,North,retail,32.69,3,98.07
527,2025-03-08,B,East,retail,19.45,1,19.45
528,2025-06-13,A,North,business,28.87,3,86.61
529,2025-10-14,B,North,business,30.3,4,121.2
530,2025-11-28,B,West,retail,15.26,4,61.04
531,2025-09-18,B,West,retail,20.65,1,20.65
532,2025-09-05,A,East,retail,27.96,3,83.88
533,2025-12-14,A,West,retail,23.68,2,47.36
534,2025-07-11,C,West,business,9.59,2,19.18
535,2025-09-07,A,West,retail,34.23,3,102.69
536,2025-12-04,B,East,retail,19.86,3,59.58
537,2025-02-28,A,West,retail,30.02,2,60.04
538,2025-09-17,B,East,retail,14.52,4,58.08
539,2025-12-03,B,North,business,29.41,3,88.23
540,2025-06-10,B,East,business,13.7,2,27.4
541,2025-12-19,C,South,business,20.67,3,62.01
